Name,Rating,Price
لينوفو لابتوب ثينك باد E14 الجيل الخامس 14 انش WUXGA انتل كور i7 1355U ذاكرة رام 24 جيجا (16 + 8 ملحوم) 512 اس دي ويندوز 11 برو اسود (21JKCTO1WWCA1),N/A,"‏58,042.00 جنيه"
,3.4 من 5 نجوم,"‏19,550.00 جنيه"
لابتوب العاب اومن 16-k0033dx - انتل كور i9-12900H الجيل 12 وRAM DDR5 16GB وSSD 1TB 16.1 بوصة QHD (2560x1440) 165Hz IPS 300من اتش بي، انفيديا جيفورس RTX 3060 6GB GDDR6، اضاءة خلفية RGB 4Z، ويندوز 11,3.7 من 5 نجوم,"‏68,900.00 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 16 بوصة، وذاكرة رام 16 جيجابايت,3.9 من 5 نجوم,"‏79,999.00 جنيه"
لابتوب من اتش بي، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,3.9 من 5 نجوم,"‏46,333.00 جنيه"
لابتوب من ديل، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,5.0 من 5 نجوم,"‏46,808.47 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 16 بوصة، وذاكرة رام 16 جيجابايت,3.3 من 5 نجوم,"‏59,999.00 جنيه"
لاب توب اتش بي فيكتس انتل i5-13500H جيل 13/12 نواة/ذاكرة GDDR6 6 جيجا/انفيديا جي فورس RTX 4050/رام 16/SSD 512/شاشة 15.6 بوصة 1920×1080 144 هرتز IPS/لوحة مفاتيح بإضاءة خلفية، ميكا سيلفر 15-fa1018nia,N/A,"‏47,650.00 جنيه"
لابتوب من أسوس، بمعالج انتل، شاشة 16 بوصة، وذاكرة رام 16 جيجابايت,5.0 من 5 نجوم,"‏69,399.00 جنيه"
لابتوب من ديل، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,N/A,"‏33,999.00 جنيه"
لابتوب ثينك باد E16 الجيل الأول للمنزل والعمل من لينوفو (انتل i7-1355U 10-كور، شاشة 16 بوصة 60 هرتز UXGA (1920x1200)، ايريس Xe، ذاكرة RAM 40GB، 1TB M.2 2242 PCIe SSD، ويندوز 11 برو) مع شنطة ظهر,N/A,"‏69,982.00 جنيه"
لابتوب من ديل، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,4.1 من 5 نجوم,"‏79,600.00 جنيه"
لابتوب من لينوفو، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,4.5 من 5 نجوم,"‏39,550.00 جنيه"
لابتوب من اتش بي، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,4.4 من 5 نجوم,"‏47,650.00 جنيه"
,4.2 من 5 نجوم,"‏41,310.50 جنيه"
لابتوب ثينك باد E16 من لينوفو: انتل كور i5 1335U، ذاكرة رام DDR4 سعة 16 جيجابايت، هارد SSD 512 جيجابايت، شاشة LED مقاس 16 بوصة، W11P,N/A,"‏43,333.00 جنيه"
لابتوب من اتش بي، بمعالج ايه ام دي، شاشة 16.1 بوصة، وذاكرة رام 16 جيجابايت,4.2 من 5 نجوم,"‏45,406.14 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,3.2 من 5 نجوم,"‏49,888.00 جنيه"
لابتوب من أسوس، بمعالج انتل، شاشة 14 إنش، وذاكرة رام 16 جيجا,2.5 من 5 نجوم,"‏61,999.00 جنيه"
لابتوب من لينوفو، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,3.9 من 5 نجوم,"‏55,100.00 جنيه"
لابتوب من اتش بي، بمعالج انتل، شاشة 16.1 بوصة، وذاكرة رام 16 جيجابايت,4.2 من 5 نجوم,"‏55,700.00 جنيه"
لابتوب من ديل، بمعالج انتل، شاشة 15.6 بوصة، وذاكرة رام 8 جيجابايت,3.2 من 5 نجوم,"‏33,301.95 جنيه"
,3.0 من 5 نجوم,"‏70,900.00 جنيه"
إعلانإعلان,4.8 من 5 نجوم,"‏54,993.00 جنيه"
